total leaf samples: 1250
   samples    self%  frame
       373   29.84%  recvfrom
       182   14.56%  epoll_wait
        33    2.64%  clock_gettime
        28    2.24%  <tokio::runtime::io::registration::Registration>::async_io::<(usize, core::net::socket_addr::SocketAddr), <tokio::net::udp::UdpSocket>::recv_from::{closure#0}::{closure#0}>::{closure#0}
        28    2.24%  malloc
        24    1.92%  core::sync::atomic::atomic_compare_exchange_weak::<u8>
        23    1.84%  <alloc::sync::Arc<dyn logthing::ipfix::listener::IpfixHandler> as core::ops::deref::Deref>::deref
        21    1.68%  core::sync::atomic::atomic_add::<usize, usize>
        17    1.36%  logthing::ipfix::decoder::parse_ipfix_data_set
        16    1.28%  std::sys::net::connection::socket::socket_addr_from_c
        16    1.28%  <logthing::ipfix::listener::IpfixListener>::start_with_shutdown::{closure#0}::{closure#1}
        14    1.12%  core::sync::atomic::atomic_load::<usize>
        14    1.12%  alloc::alloc::alloc
        13    1.04%  <chrono::naive::internals::YearFlags>::from_year_mod_400
        13    1.04%  powf64
        12    0.96%  <tokio::runtime::scheduler::multi_thread::idle::Idle>::is_parked
        10    0.80%  tokio::sync::watch::changed_impl::<bool>::{closure#0}
        10    0.80%  free
        10    0.80%  <core::ptr::non_null::NonNull<alloc::sync::ArcInner<metrics_exporter_prometheus::recorder::Inner>>>::as_ref
        10    0.80%  <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write
        10    0.80%  <std::sys::pal::unix::time::Timespec>::now
         9    0.72%  core::io::error::os_functions::decode_error_kind
         9    0.72%  <tokio::runtime::scheduler::multi_thread::stats::Stats>::end_processing_scheduled_tasks
         9    0.72%  core::sync::atomic::atomic_load::<u64>
         9    0.72%  <tokio::runtime::scheduler::multi_thread::stats::Stats>::start_poll
         9    0.72%  <std::thread::local::LocalKey<tokio::runtime::context::Context>>::with::<tokio::runtime::context::thread_rng_n::{closure#0}, u32>
         8    0.64%  std::sys::pal::unix::cvt::<isize>
         8    0.64%  logthing::ipfix::decoder::ie_info
