total leaf samples: 4736
   samples    self%  frame
       813   17.17%  posix_memalign
       542   11.44%  free
       408    8.61%  __lll_lock_wake_private
       345    7.28%  malloc
       294    6.21%  recvfrom
       220    4.65%  core::sync::atomic::atomic_sub::<usize, usize>
       216    4.56%  __lll_lock_wait_private
       146    3.08%  epoll_wait
       110    2.32%  core::sync::atomic::atomic_add::<usize, usize>
        95    2.01%  mprotect
        88    1.86%  core::ptr::copy_nonoverlapping::<u8>
        51    1.08%  alloc::alloc::alloc
        41    0.87%  clock_gettime
        37    0.78%  core::sync::atomic::atomic_load::<usize>
        36    0.76%  <&u8 as core::ops::bit::Shr<usize>>::shr
        36    0.76%  <arrow_buffer::buffer::immutable::Buffer>::len
        32    0.68%  <u8 as core::slice::cmp::SlicePartialEq<u8>>::equal_same_length
        27    0.57%  <arrow_schema::datatype::DataType as core::cmp::PartialEq>::eq
        20    0.42%  core::sync::atomic::atomic_load::<u32>
        19    0.40%  <arrow_schema::datatype::DataType as core::clone::Clone>::clone
        16    0.34%  <alloc::raw_vec::RawVec<alloc::sync::Arc<dyn arrow_array::array::Array>> as core::ops::drop::Drop>::drop
        16    0.34%  <alloc::sync::Arc<arrow_buffer::bytes::Bytes> as core::ops::drop::Drop>::drop
        15    0.32%  <arrow_data::data::ArrayDataBuilder>::nulls
        15    0.32%  core::ptr::drop_glue::<tokio::task::coop::RestoreOnPending>
        13    0.27%  <tokio::runtime::io::registration::Registration>::async_io::<(usize, core::net::socket_addr::SocketAddr), <tokio::net::udp::UdpSocket>::recv_from::{closure#0}::{closure#0}>::{closure#0}
        13    0.27%  <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write
        12    0.25%  <std::sys::pal::unix::time::Timespec>::now
        12    0.25%  <tokio::runtime::scheduler::multi_thread::idle::Idle>::unpark_worker_by_id
        12    0.25%  realloc
        12    0.25%  std::sys::net::connection::socket::socket_addr_from_c
        12    0.25%  <core::ptr::non_null::NonNull<alloc::sync::ArcInner<tokio::sync::mpsc::chan::Chan<alloc::vec::Vec<logthing::ipfix::FlowRecord>, tokio::sync::mpsc::bounded::Semaphore>>>>::as_ref
        12    0.25%  <logthing::ipfix::listener::IpfixListener>::start_with_shutdown::{closure#0}
        12    0.25%  ZSTD_cwksp_clean_tables
        11    0.23%  <core::ptr::non_null::NonNull<alloc::sync::ArcInner<arrow_buffer::bytes::Bytes>>>::as_ref
        11    0.23%  <alloc::vec::Vec<logthing::ipfix::FlowRecord>>::push_mut
        11    0.23%  <tokio::runtime::scheduler::multi_thread::worker::Core>::tick
        10    0.21%  core::sync::atomic::atomic_compare_exchange::<u8>
        10    0.21%  arrow_select::concat::binary_capacity::<arrow_array::types::GenericStringType<i32>>
        10    0.21%  <logthing::ipfix::listener::IpfixListener>::start_with_shutdown::{closure#0}::{closure#1}
        10    0.21%  <arrow_buffer::bytes::Bytes as core::ops::drop::Drop>::drop
        10    0.21%  logthing::forwarding::ipfix_s3::append_flow_record
        10    0.21%  core::fmt::write
        10    0.21%  <tokio::runtime::task::raw::RawTask>::schedule
        10    0.21%  <core::ptr::non_null::NonNull<alloc::sync::ArcInner<tokio::runtime::scheduler::multi_thread::queue::Inner<alloc::sync::Arc<tokio::runtime::scheduler::multi_thread::handle::Handle>>>>>::as_ref
         9    0.19%  alloc::alloc::dealloc_nonnull
         9    0.19%  logthing::ipfix::decoder::parse_ipfix_data_set
         9    0.19%  <tokio::sync::notify::NotifiedProject>::poll_notified
         9    0.19%  core::sync::atomic::atomic_load::<u8>
         9    0.19%  chrono::naive::date::cycle_to_yo
         9    0.19%  <*mut ((core::net::ip_addr::IpAddr, u32, u16), alloc::vec::Vec<logthing::ipfix::decoder::FieldSpecifier>)>::sub
         8    0.17%  metrics::recorder::with_recorder::<metrics::handles::Counter, logthing::ipfix::decoder::decode_datagram::{closure#0}>::{closure#0}
         8    0.17%  <arrow_array::builder::primitive_builder::PrimitiveBuilder<arrow_array::types::TimestampMicrosecondType>>::with_capacity
         8    0.17%  <arrow_data::data::ArrayDataBuilder>::add_buffer
         8    0.17%  <core::ptr::non_null::NonNull<alloc::sync::ArcInner<dyn arrow_array::array::Array>>>::as_ref
         8    0.17%  logthing::ipfix::decoder::read_u16_be
         8    0.17%  <logthing::forwarding::buffered_writer::ParquetWriterHandle<logthing::forwarding::ipfix_s3::IpfixSink> as logthing::ipfix::listener::IpfixHandler>::handle_flows
         8    0.17%  tokio::sync::watch::changed_impl::<bool>::{closure#0}
         8    0.17%  <arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::UInt8Type> as core::clone::Clone>::clone
         8    0.17%  <core::cell::Cell<*const tokio::runtime::scheduler::Context>>::get
         8    0.17%  core::ptr::write::<arrow_data::data::ArrayData>
         7    0.15%  <core::option::Option<arrow_buffer::builder::boolean::BooleanBufferBuilder>>::is_some
         7    0.15%  tokio::runtime::context::CONTEXT::{K#0}::{closure#0}
         7    0.15%  __rustc::__rdl_alloc
         7    0.15%  <core::net::ip_addr::IpAddr as alloc::string::SpecToString>::spec_to_string
         7    0.15%  core::ptr::drop_glue::<core::option::Option<alloc::sync::Arc<str>>>
         7    0.15%  <std::alloc::System as core::alloc::global::GlobalAlloc>::alloc
         7    0.15%  powf64
         7    0.15%  <logthing::forwarding::ipfix_s3::IpfixSink as logthing::forwarding::buffered_writer::ParquetSink>::to_record_batch
         7    0.15%  core::ptr::write_bytes::<u8>
         7    0.15%  <alloc::vec::Vec<alloc::sync::Arc<dyn arrow_array::array::Array>>>::as_slice
         7    0.15%  <core::ptr::non_null::NonNull<alloc::sync::ArcInner<metrics_exporter_prometheus::recorder::Inner>>>::as_ref
         7    0.15%  <arrow_data::data::ArrayDataBuilder>::build_impl
         6    0.13%  <tokio::runtime::task::core::Core<logthing::async_main::{closure#0}::{closure#8}, alloc::sync::Arc<tokio::runtime::scheduler::current_thread::Handle>>>::poll::{closure#0}
         6    0.13%  core::ptr::drop_glue::<arrow_schema::datatype::DataType>
         6    0.13%  core::ptr::drop_glue::<dyn arrow_array::array::Array>
         6    0.13%  <tokio::net::udp::UdpSocket>::recv_from::{closure#0}
         6    0.13%  <*mut (alloc::string::String, ())>::sub
