# format=generic shape=real duration=15s runs=3 transport=http port=5985
# server restarted between every run; hec_events_received/n/a/parquet_s3_dropped are per-run values (fresh process), not deltas.
run	format	shape	offered	achieved	received	kernel_drops	writer_drops	buffer_drops	written	kernel_loss_pct	total_loss_pct	gen_cores	srv_cores	verdict
# --- rate=5000 ---
1	generic	real	74800	4986.4000	74800	n/a	0	0	74800	n/a	0.0000	0.00	0.06	PASS
2	generic	real	74800	4986.4000	74800	n/a	0	0	74800	n/a	0.0000	-0.00	0.06	PASS
3	generic	real	74800	4986.4000	74800	n/a	0	0	74800	n/a	0.0000	0.00	0.06	PASS
# --- summary: format=generic shape=real rate=5000 runs=3 ---
median	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# kernel-loss is not applicable for format=generic (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# rate=5000 median_loss=0.0000% median_achieved=4986.4000
# --- rate=10000 ---
1	generic	real	149700	9979.3000	149700	n/a	0	0	149700	n/a	0.0000	0.00	0.12	PASS
2	generic	real	149900	9992.8000	149900	n/a	0	0	149900	n/a	0.0000	-0.00	0.12	PASS
3	generic	real	149700	9979.6000	149700	n/a	0	0	149700	n/a	0.0000	-0.00	0.12	PASS
# --- summary: format=generic shape=real rate=10000 runs=3 ---
median	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# kernel-loss is not applicable for format=generic (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# rate=10000 median_loss=0.0000% median_achieved=9979.6000
# --- rate=20000 ---
1	generic	real	299900	19991.7000	299900	n/a	0	0	299900	n/a	0.0000	0.00	0.23	PASS
2	generic	real	299600	19972.3000	299600	n/a	0	0	299600	n/a	0.0000	0.00	0.23	PASS
3	generic	real	299800	19985.4000	299800	n/a	0	0	299800	n/a	0.0000	-0.00	0.22	PASS
# --- summary: format=generic shape=real rate=20000 runs=3 ---
median	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	generic	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# kernel-loss is not applicable for format=generic (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# rate=20000 median_loss=0.0000% median_achieved=19985.4000
# --- rate=40000 ---
