# format=hec shape=real duration=15s runs=3 transport=http port=5985
# server restarted between every run; hec_events_received/n/a/parquet_s3_dropped are per-run values (fresh process), not deltas.
run	format	shape	offered	achieved	received	kernel_drops	writer_drops	buffer_drops	written	kernel_loss_pct	total_loss_pct	gen_cores	srv_cores	verdict
# --- rate=5000 ---
1	hec	real	74800	4986.4000	74800	n/a	0	0	74800	n/a	0.0000	-0.00	0.08	PASS
2	hec	real	74800	4986.6000	74800	n/a	0	0	74800	n/a	0.0000	0.00	0.08	PASS
3	hec	real	74800	4986.4000	74800	n/a	0	0	74800	n/a	0.0000	-0.00	0.08	PASS
# --- summary: format=hec shape=real rate=5000 runs=3 ---
median	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# kernel-loss is not applicable for format=hec (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the RcvbufErrors reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# rate=5000 median_loss=0.0000% median_achieved=4986.4000
# --- rate=10000 ---
1	hec	real	149700	9979.4000	149700	n/a	0	0	149700	n/a	0.0000	0.00	0.14	PASS
2	hec	real	149700	9979.4000	149700	n/a	0	0	149700	n/a	0.0000	0.00	0.14	PASS
3	hec	real	149700	9979.5000	149700	n/a	0	0	149700	n/a	0.0000	-0.00	0.15	PASS
# --- summary: format=hec shape=real rate=10000 runs=3 ---
median	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# kernel-loss is not applicable for format=hec (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the RcvbufErrors reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# rate=10000 median_loss=0.0000% median_achieved=9979.4000
# --- rate=20000 ---
1	hec	real	299700	19978.6000	299700	n/a	0	0	299700	n/a	0.0000	0.00	0.29	PASS
2	hec	real	299800	19985.3000	299800	n/a	0	0	299800	n/a	0.0000	-0.00	0.31	PASS
3	hec	real	299800	19985.0000	299800	n/a	0	0	299800	n/a	0.0000	-0.00	0.31	PASS
# --- summary: format=hec shape=real rate=20000 runs=3 ---
median	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# kernel-loss is not applicable for format=hec (transport=http cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the RcvbufErrors reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# rate=20000 median_loss=0.0000% median_achieved=19985.0000
# --- rate=40000 ---
1	hec	real	599600	39969.0000	599600	n/a	0	0	599600	n/a	0.0000	-0.00	0.56	PASS
2	hec	real	599600	39969.4000	599600	n/a	0	0	599600	n/a	0.0000	-0.00	0.60	PASS
3	hec	real	599600	39969.5000	599600	n/a	0	0	599600	n/a	0.0000	0.00	0.53	PASS
# --- summary: format=hec shape=real rate=40000 runs=3 ---
median	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	hec	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
