# format=ipfix shape=real duration=15s runs=3 transport=udp port=4739
# server restarted between every run; ipfix_datagrams_received/ipfix_socket_drops/parquet_s3_dropped are per-run values (fresh process), not deltas.
# RcvbufErrors is host-wide and NOT reset by restart -- diffed before/after around each run's load.
run	format	shape	offered	achieved	received	kernel_drops	writer_drops	buffer_drops	written	kernel_loss_pct	total_loss_pct	gen_cores	srv_cores	verdict
# --- rate=5000 ---
1	ipfix	real	74996	4999.5000	75000	0	0	0	74965	0.0000	0.0000	-0.00	0.29	PASS
2	ipfix	real	74994	4999.4000	74998	0	0	0	74974	0.0000	0.0000	-0.00	0.28	PASS
3	ipfix	real	74995	4999.5000	74999	0	0	0	74967	0.0000	0.0000	-0.00	0.27	PASS
# --- summary: format=ipfix shape=real rate=5000 runs=3 ---
median	ipfix	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	ipfix	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	ipfix	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# NOTE: zero kernel-socket loss (ipfix_socket_drops == 0) on every run at rate=5000 -- rate/duration did not saturate the receive buffer on this host. This does not by itself mean total_loss_pct above is zero (writer_drops/buffer_drops can still be non-zero); if it is also zero, raise the rate or DURATION to produce a measurable baseline instead.
# rate=5000 median_loss=0.0000% median_achieved=4999.5000
# --- rate=10000 ---
1	ipfix	real	149991	9999.0000	149995	0	0	0	149952	0.0000	0.0000	-0.00	0.38	PASS
2	ipfix	real	149994	9999.3000	149998	0	0	0	149950	0.0000	0.0000	-0.00	0.35	PASS
3	ipfix	real	149997	9999.2000	150001	0	0	0	149943	0.0000	0.0000	-0.00	0.35	PASS
# --- summary: format=ipfix shape=real rate=10000 runs=3 ---
median	ipfix	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	ipfix	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	ipfix	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# NOTE: zero kernel-socket loss (ipfix_socket_drops == 0) on every run at rate=10000 -- rate/duration did not saturate the receive buffer on this host. This does not by itself mean total_loss_pct above is zero (writer_drops/buffer_drops can still be non-zero); if it is also zero, raise the rate or DURATION to produce a measurable baseline instead.
# rate=10000 median_loss=0.0000% median_achieved=9999.2000
# --- rate=20000 ---
1	ipfix	real	299982	19998.2000	299420	566	0	0	299320	0.1887	0.1887	-0.00	0.59	FAIL-LOSS
2	ipfix	real	299985	19998.0000	299989	0	0	0	299856	0.0000	0.0000	-0.00	0.58	PASS
3	ipfix	real	299987	19998.7000	299991	0	0	0	299926	0.0000	0.0000	-0.00	0.59	PASS
# --- summary: format=ipfix shape=real rate=20000 runs=3 ---
median	ipfix	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	ipfix	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	ipfix	real	-	-	-	-	-	-	-	-	0.1887	-	-	-
# rate=20000 median_loss=0.0000% median_achieved=19998.2000
# --- rate=40000 ---
1	ipfix	real	599967	39997.1000	596725	3246	0	0	596721	0.5410	0.5410	-0.00	0.92	FAIL-LOSS
2	ipfix	real	599958	39996.6000	595393	4569	0	0	595389	0.7616	0.7616	0.00	1.03	FAIL-LOSS
3	ipfix	real	599962	39995.8000	599874	92	0	0	599870	0.0153	0.0153	-0.00	0.93	PASS
# --- summary: format=ipfix shape=real rate=40000 runs=3 ---
median	ipfix	real	-	-	-	-	-	-	-	-	0.5410	-	-	-
min	ipfix	real	-	-	-	-	-	-	-	-	0.0153	-	-	-
