# format=sflow shape=real duration=15s runs=3 transport=udp port=6343
# server restarted between every run; sflow_datagrams_received/sflow_socket_drops/parquet_s3_dropped are per-run values (fresh process), not deltas.
# RcvbufErrors is host-wide and NOT reset by restart -- diffed before/after around each run's load.
run	format	shape	offered	achieved	received	kernel_drops	writer_drops	buffer_drops	written	kernel_loss_pct	total_loss_pct	gen_cores	srv_cores	verdict
# --- rate=5000 ---
1	sflow	real	74995	4999.5000	74995	0	0	0	149950	0.0000	0.0000	-0.00	0.32	PASS
2	sflow	real	74992	4999.2000	74992	0	0	0	149934	0.0000	0.0000	-0.00	0.31	PASS
3	sflow	real	74995	4999.6000	74995	0	0	0	149928	0.0000	0.0000	-0.00	0.32	PASS
# --- summary: format=sflow shape=real rate=5000 runs=3 ---
median	sflow	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	sflow	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	sflow	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# NOTE: zero kernel-socket loss (sflow_socket_drops == 0) on every run at rate=5000 -- rate/duration did not saturate the receive buffer on this host. This does not by itself mean total_loss_pct above is zero (writer_drops/buffer_drops can still be non-zero); if it is also zero, raise the rate or DURATION to produce a measurable baseline instead.
# rate=5000 median_loss=0.0000% median_achieved=4999.5000
# --- rate=10000 ---
1	sflow	real	149989	9999.0000	149989	0	0	0	299886	0.0000	0.0000	-0.00	0.45	PASS
2	sflow	real	149986	9998.9000	149986	0	0	0	299866	0.0000	0.0000	-0.00	0.43	PASS
3	sflow	real	149988	9999.0000	149988	0	0	0	299924	0.0000	0.0000	0.00	0.42	PASS
# --- summary: format=sflow shape=real rate=10000 runs=3 ---
median	sflow	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	sflow	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	sflow	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# NOTE: zero kernel-socket loss (sflow_socket_drops == 0) on every run at rate=10000 -- rate/duration did not saturate the receive buffer on this host. This does not by itself mean total_loss_pct above is zero (writer_drops/buffer_drops can still be non-zero); if it is also zero, raise the rate or DURATION to produce a measurable baseline instead.
# rate=10000 median_loss=0.0000% median_achieved=9999.0000
# --- rate=20000 ---
1	sflow	real	300000	19999.0000	297270	2730	0	0	594420	0.9100	0.9100	0.00	0.67	FAIL-LOSS
2	sflow	real	299990	19998.3000	299990	0	0	0	599722	0.0000	0.0000	-0.00	0.72	PASS
3	sflow	real	299980	19997.9000	299980	0	0	0	599726	0.0000	0.0000	0.00	0.71	PASS
# --- summary: format=sflow shape=real rate=20000 runs=3 ---
median	sflow	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
