# format=syslog shape=real duration=15s runs=3 transport=udp port=15140
# server restarted between every run; syslog_messages_received/syslog_udp_socket_drops/parquet_s3_dropped are per-run values (fresh process), not deltas.
# syslog_udp_socket_drops is reconciled against this run's own socket's /proc/net/udp drop counter (NOT host-wide RcvbufErrors), diffed before/after around each run's load.
run	format	shape	offered	achieved	received	kernel_drops	writer_drops	buffer_drops	written	kernel_loss_pct	total_loss_pct	gen_cores	srv_cores	verdict
# --- rate=5000 ---
1	syslog	real	74992	4999.5000	74992	0	0	0	70000	0.0000	0.0000	0.00	0.39	PASS
2	syslog	real	74995	4999.5000	73845	1150	0	0	70000	1.5334	1.5334	-0.00	0.41	FAIL-LOSS
3	syslog	real	74994	4999.3000	74994	0	0	0	70000	0.0000	0.0000	-0.00	0.37	PASS
# --- summary: format=syslog shape=real rate=5000 runs=3 ---
median	syslog	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	syslog	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	syslog	real	-	-	-	-	-	-	-	-	1.5334	-	-	-
# rate=5000 median_loss=0.0000% median_achieved=4999.5000
# --- rate=10000 ---
1	syslog	real	149997	9999.1000	149997	0	0	0	140000	0.0000	0.0000	-0.00	0.54	PASS
2	syslog	real	149991	9998.8000	149991	0	0	0	140000	0.0000	0.0000	-0.00	0.59	PASS
3	syslog	real	149991	9999.1000	149991	0	0	0	140000	0.0000	0.0000	-0.00	0.55	PASS
# --- summary: format=syslog shape=real rate=10000 runs=3 ---
median	syslog	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	syslog	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	syslog	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# NOTE: zero kernel-socket loss (syslog_udp_socket_drops == 0) on every run at rate=10000 -- rate/duration did not saturate the receive buffer on this host. This does not by itself mean total_loss_pct above is zero (writer_drops/buffer_drops can still be non-zero); if it is also zero, raise the rate or DURATION to produce a measurable baseline instead.
# rate=10000 median_loss=0.0000% median_achieved=9999.1000
# --- rate=20000 ---
