# format=zeek shape=real duration=15s runs=3 transport=tcp port=47760
# server restarted between every run; zeek_records_received/n/a/parquet_s3_dropped are per-run values (fresh process), not deltas.
run	format	shape	offered	achieved	received	kernel_drops	writer_drops	buffer_drops	written	kernel_loss_pct	total_loss_pct	gen_cores	srv_cores	verdict
# --- rate=5000 ---
1	zeek	real	74998	4999.5000	74998	n/a	0	0	74998	n/a	0.0000	-0.00	0.15	PASS
2	zeek	real	74994	4999.4000	74994	n/a	0	0	74994	n/a	0.0000	-0.00	0.13	PASS
3	zeek	real	74992	4999.2000	74992	n/a	0	0	74992	n/a	0.0000	-0.00	0.14	PASS
# --- summary: format=zeek shape=real rate=5000 runs=3 ---
median	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# kernel-loss is not applicable for format=zeek (transport=tcp cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# rate=5000 median_loss=0.0000% median_achieved=4999.4000
# --- rate=10000 ---
1	zeek	real	149995	9999.3000	149995	n/a	0	0	149995	n/a	0.0000	-0.00	0.27	PASS
2	zeek	real	149997	9999.3000	149997	n/a	0	0	149997	n/a	0.0000	-0.00	0.26	PASS
3	zeek	real	149991	9999.1000	149991	n/a	0	0	149991	n/a	0.0000	-0.00	0.26	PASS
# --- summary: format=zeek shape=real rate=10000 runs=3 ---
median	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# kernel-loss is not applicable for format=zeek (transport=tcp cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# rate=10000 median_loss=0.0000% median_achieved=9999.3000
# --- rate=20000 ---
1	zeek	real	299990	19998.3000	299990	n/a	0	0	299909	n/a	0.0000	-0.00	0.56	PASS
2	zeek	real	299994	19998.8000	299994	n/a	0	0	299893	n/a	0.0000	0.00	0.56	PASS
3	zeek	real	299990	19998.3000	299990	n/a	0	0	299863	n/a	0.0000	-0.00	0.54	PASS
# --- summary: format=zeek shape=real rate=20000 runs=3 ---
median	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# kernel-loss is not applicable for format=zeek (transport=tcp cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# rate=20000 median_loss=0.0000% median_achieved=19998.3000
# --- rate=40000 ---
1	zeek	real	599970	39996.2000	599970	n/a	0	0	599970	n/a	0.0000	0.00	1.18	PASS
2	zeek	real	599980	39997.3000	599980	n/a	0	0	599980	n/a	0.0000	-0.00	1.15	PASS
3	zeek	real	599980	39997.0000	599980	n/a	0	0	599980	n/a	0.0000	-0.00	1.08	PASS
# --- summary: format=zeek shape=real rate=40000 runs=3 ---
median	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# kernel-loss is not applicable for format=zeek (transport=tcp cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# rate=40000 median_loss=0.0000% median_achieved=39997.0000
# --- rate=80000 ---
1	zeek	real	950275	62562.8000	950275	n/a	0	0	900000	n/a	0.0000	-0.00	2.82	GENERATOR-LIMITED
2	zeek	real	878427	58187.6000	878427	n/a	0	0	800000	n/a	0.0000	-0.00	2.87	GENERATOR-LIMITED
3	zeek	real	840395	55700.9000	840395	n/a	0	0	800000	n/a	0.0000	-0.00	2.90	GENERATOR-LIMITED
# --- summary: format=zeek shape=real rate=80000 runs=3 ---
median	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
min	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
max	zeek	real	-	-	-	-	-	-	-	-	0.0000	-	-	-
# kernel-loss is not applicable for format=zeek (transport=tcp cannot lose datagrams in a socket buffer): kernel_loss_pct is n/a on every row above (not reported as zero) and the socket-drop reconciliation is skipped. total_loss_pct above already reflects only the drop sites that apply to this format (writer/buffer, kernel contributing 0).
# rate=80000 median_loss=0.0000% median_achieved=58187.6000
GENERATOR-LIMITED 80000
artifacts (server logs): /tmp/tmp.HOT83VY0pr (removed on exit; rerun with TMP_ROOT preserved manually if needed for debugging)
